Custom Name,Brix,T2
A63-6,12.6,22.2
A64-1,14.4,22.2
A64-2,14.4,22.1
A64-3,13.4,22.1
A64-4,13.1,22
A64-5,13.3,22
A64-6,13.4,22
A65-1,14.7,22
A65-2,14.9,22
A65-3,13.3,22
A65-4,13.2,22
A65-5,13.6,22
A65-6,14.8,22
A66-1,16,22
A66-2,14.9,22
A66-3,13.5,22
A66-4,14.3,22
A66-5,13.9,22
A66-6,14.3,22
A67-1,13.9,21.9
A67-2,13.7,21.9
A67-3,13.8,21.9
A67-4,12.8,21.9
A67-5,12.5,21.9
A67-6,12.1,21.9
A68-1,12.5,21.9
A68-2,13.9,21.9
A68-3,14.5,21.9
A68-4,13.7,21.8
A68-5,13,21.9
A68-6,13.1,21.9
A69-1,13.1,21.9
A69-2,14.4,21.9
A69-3,14.4,21.9
A69-4,13.9,21.9
A69-5,13.9,21.9
A69-6,14.1,21.9
A70-1,14.6,21.9
A70-2,14.2,21.9
A70-3,13.4,21.9
A70-4,13.5,21.9
A70-5,14.7,21.9
A70-6,13.9,21.9
A71-1,14.4,21.9
A71-2,14.5,21.9
A71-3,14.2,21.9
A71-4,13,21.9
A71-5,12.8,21.9
A71-6,14,21.9
A72-1,16,21.8
A72-2,16.5,21.8
A72-3,15.6,21.8
A72-4,13.7,21.8
A72-5,13,21.8
A72-6,13.2,21.8
A73-1,12.8,21.6
A73-2,13.4,21.6
A73-3,13.6,21.6
A73-4,13,21.6
A73-5,12.9,21.6
A73-6,12.6,21.6
A74-1,13.8,21.5
A74-2,13.3,21.5
A74-3,12.5,21.5
A74-4,12.2,21.6
A74-5,12.5,21.6
A74-6,13.1,21.6
A75-1,13.9,21.6
A75-2,14.5,21.6
A75-3,14.5,21.6
A75-4,13,21.6
A75-5,12.4,21.5
A75-6,12.1,21.6
A76-1,16.1,21.8
A76-2,15.9,22.1
A76-3,15.7,22.2
A76-4,13.8,22.3
A76-5,14.1,22.4
A76-6,13.5,22.6
A77-1,14.9,22.5
A77-2,14.6,22.4
A77-3,13.7,22.4
A77-4,13.1,22.3
A77-5,13.3,22.2
A77-6,14,22.1
A78-1,14.2,22.1
A78-2,13.9,22.1
A78-3,14.1,22.1
A78-4,13.4,22
A78-5,12.9,22
A78-6,13.6,21.9
A79-1,13.5,21.9
A79-2,14.1,22
A79-3,13.8,22
A79-4,12.9,22
A79-5,13.1,21.9
A79-6,13.6,21.9
A80-1,15,21.9
A80-2,16.4,21.8
A80-3,16.9,21.8
A80-4,14.4,21.9
A80-5,13.8,21.8
A80-6,13.4,21.7
A81-1,16.7,21.8
A81-2,16,22.8
A81-3,15,22.8
A81-4,14:08,22.9
A81-5,14.7,23
A81-6,14.1,27.9
A82-1,14.2,22.8
A82-2,13.7,27.9
A82-3,13,22.9
A82-4,13.2,23
A82-5,13.2,23
A82-6,13.3,23.1
A83-1,15,23
A83-2,15.4,23
A83-3,13.7,23
A83-4,13.6,23
A83-5,13.7,23
A83-6,14.7,23
A84-1,15,23
A84-2,15,23.1
A84-3,14.4,23.1
A84-4,13.6,23.1
A84-5,14.1,23.1
A84-6,13.7,23.1
A85-1,13.6,23
A85-2,14.2,23
A85-3,14.7,23
A85-4,13.9,23
A85-5,13,23
A85-6,13.6,22.9
A86-1,14.3,22.9
A86-2,15.1,23
A86-3,16.7,23
A86-4,14.3,22.9
A86-5,14.8,23
A86-6,15.1,23
A87-1,13.2,22.9
A87-2,13.3,22.9
A87-3,13.8,22.9
A87-4,12.6,22.9
A87-5,12.3,27.9
A87-6,12.9,22.9
A88-1,14.9,22.9
A88-2,15.5,22.9
A88-3,14.8,22.7
A88-4,12.3,22.8
A88-5,11.3,22.8
A88-6,13.1,22.7
A89-1,15.3,22.7
A89-2,14.4,22.7
A89-3,14.1,22.7
A89-4,13.7,22.7
A89-5,14.3,22.7
A89-6,14.7,22.7
A90-1,14.5,21.5
A90-2,14.4,21.5
A90-3,13.2,21.4
A90-4,14.1,21.4
A90-5,13.2,21.2
A90-6,13.1,21.3
A91-1,14.5,21.1
A91-2,14.5,21.2
A91-3,15.3,21.2
A91-4,13.5,21.3
A91-5,13.3,21.3
A91-6,13.4,21.2
A92-1,14.3,21.2
A92-2,15.4,21.2
A92-3,15.7,21.2
A92-4,14.4,21.2
A92-5,13.4,21.2
A92-6,13.2,21.2
A93-1,14.2,21.2
A93-2,13.9,21.2
A93-3,13.2,21.2
A93-4,13.2,21.2
A93-5,13.2,21.2
A93-6,12.7,21.2
A94-1,14.7,21.2
A94-2,13.9,21.2
A94-3,14.2,21.2
A94-4,15,21.2
A94-5,14.6,21.2
A94-6,14.6,21.2
A95-1,13.9,21.2
A95-2,13.9,21.2
A95-3,12.6,21.2
A95-4,12.6,21.1
A95-5,12.9,21.1
A95-6,12.7,21.1
A96-1,15.9,19.6
A96-2,15,20
A96-3,13.2,20.2
A96-4,12.6,20.3
A96-5,11.9,20.4
A96-6,12.7,20.9
A97-1,13.9,20.4
A97-2,15.2,20.4
A97-3,13.2,20.4
A97-4,12.5,20.4
A97-5,12.7,20.4
A97-6,12.1,20.5
A98-1,14.6,20.5
A98-2,14.4,20.5
A98-3,14,20.5
A98-4,13.8,20.4
A98-5,13.3,20.5
A98-6,13.3,20.4
A99-1,13.6,20.3
A99-2,13.5,20.3
A99-3,13.9,20.3
A99-4,11.5,20.3
A99-5,13.1,20.4
A99-6,13.2,20.4
A100-1,15.4,20.3
A100-2,13.8,20.3
A100-3,14.1,20.3
A100-4,12.6,20.3
A100-5,13.3,20.3
A100-6,11.6,20.3
